id,company,companySlug,title,roleCategory,country,location,isRemote,isInternship,datePostedUtc,firstDiscoveredAtUtc,lastVerifiedAtUtc,scoutJobUrl,sourceUrl
09b9bd2d-f6c0-4a3f-8918-7f9ada72b6cc,AMD,amd,Lead Power & Performance Systems Validation Engineer,SeniorSoftwareEngineeringExtensive,United States,United States,False,False,,2026-06-24T13:50:32.210147Z,2026-06-24T13:50:32.210147Z,https://www.scoutjob.me/jobs/amd-lead-power-performance-systems-validation-engineer-85369,https://careers.amd.com/careers-home/jobs/85369
a9bf3797-9c6d-48fb-8e07-daef4c8cd08c,Okta,okta,"Senior Software Engineer, Observability",SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T13:31:11.801899Z,2026-06-24T13:31:11.801899Z,https://www.scoutjob.me/jobs/okta-senior-software-engineer-observability-8024818,https://www.okta.com/company/careers/opportunity/8024818
63af8aab-11a8-41d2-8824-84f426761baf,JPMorgan Chase,jpmorgan,Lead Infrastructure Engineer - Optical Networking,SeniorHardwareEngineering,United States,United States,False,False,,2026-06-24T13:21:47.056141Z,2026-06-24T13:21:47.056141Z,https://www.scoutjob.me/jobs/jpmorgan-lead-infrastructure-engineer-optical-networking-210749215,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210749215
644b9775-a4cc-4f5f-9036-3854c777854a,JPMorgan Chase,jpmorgan,Solutions Analyst [Multiple Positions Available],Analyst,United States,United States,False,False,,2026-06-24T13:21:46.87366Z,2026-06-24T13:21:46.87366Z,https://www.scoutjob.me/jobs/jpmorgan-solutions-analyst-multiple-positions-available-210759331,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210759331
b1429674-a3b6-4fac-aaa1-4b1d6b7599a0,JPMorgan Chase,jpmorgan,Director of Software Engineering [Multiple Positions Available],SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T13:21:46.804089Z,2026-06-24T13:21:46.804089Z,https://www.scoutjob.me/jobs/jpmorgan-director-of-software-engineering-multiple-positions-available-210755117,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210755117
9f5a7f23-325d-4025-af5e-591bf8c98598,JPMorgan Chase,jpmorgan,Lead Software Engineer [Multiple Positions Available],SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T13:21:46.707339Z,2026-06-24T13:21:46.707339Z,https://www.scoutjob.me/jobs/jpmorgan-lead-software-engineer-multiple-positions-available-210754934,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210754934
ddddccc7-945a-4e97-bac5-f2a11f400ee3,Zoom,zoom,DevOps Engineer,SoftwareEngineeringExtensive,Remote,Remote,True,False,,2026-06-24T13:03:05.339048Z,2026-06-24T13:03:05.339048Z,https://www.scoutjob.me/jobs/zoom-devops-engineer-devops-engineer-india-0fb19845-22fa-4d75-af77-299ad29cc7b4,https://careers.zoom.us/jobs/devops-engineer-india-0fb19845-22fa-4d75-af77-299ad29cc7b4
fec85827-fcf8-4786-b6a1-5328cd7731bf,Cloudflare,cloudflare,Incident Response Analyst,Analyst,Remote,Remote,True,False,,2026-06-24T12:37:23.460481Z,2026-06-24T12:37:23.460481Z,https://www.scoutjob.me/jobs/cloudflare-incident-response-analyst-8025650,https://boards.greenhouse.io/cloudflare/jobs/8025650
36c035df-7b6e-4880-8418-a17c22d97ce8,Oracle,oracle,Systems Engineer,SoftwareEngineeringExtensive,United States,United States,False,False,,2026-06-24T11:59:08.873597Z,2026-06-24T11:59:08.873597Z,https://www.scoutjob.me/jobs/oracle-systems-engineer-337823,https://careers.oracle.com/en/sites/jobsearch/job/337823
1a6104c2-c1a2-4b6f-a73e-b3ccaa400a2f,JPMorgan Chase,jpmorgan,Lead Software Engineer - .NET and React,SeniorSoftwareEngineering,India,India,False,False,,2026-06-24T11:58:06.13025Z,2026-06-24T11:58:06.13025Z,https://www.scoutjob.me/jobs/jpmorgan-lead-software-engineer-net-and-react-210759000,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210759000
